Platform,Date,Country,Spenders,Conversions (1st spends),IAP revenue,Ad views,Sessions,Downloads,DAU,ARPDAU ,ARPPU,Daily Conversion Rate,1st Spends Conversion Rate
Android,03/06/2022,DK,0,0,0,946,922,46,278,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MU,0,0,0,19,102,1,23,0.00,0.00,0.00%,0.00%
Android,03/06/2022,HN,0,0,0,533,875,46,248,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,RE,0,0,0,101,121,0,46,0.00,0.00,0.00%,0.00%
Android,03/06/2022,BH,2,2,42,181,268,26,79,0.53,21.00,2.53%,100.00%
Android,03/06/2022,JP,14,6,528,23466,13552,583,4883,0.11,37.71,0.29%,42.86%
iOS,03/06/2022,-,0,0,0,26,13,0,4,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,OM,0,0,0,146,163,8,62,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,DE,3,2,66,8737,11453,365,3253,0.02,22.00,0.09%,66.67%
iOS,03/06/2022,BR,3,2,72,7724,8101,229,2430,0.03,24.00,0.12%,66.67%
iOS,03/06/2022,GR,0,0,0,406,738,17,222,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,UA,1,1,6,2365,3373,66,822,0.01,6.00,0.12%,100.00%
iOS,03/06/2022,DZ,0,0,0,86,222,5,53,0.00,0.00,0.00%,0.00%
Android,03/06/2022,BE,0,0,0,2136,2478,136,887,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,BN,0,0,0,170,370,16,74,0.00,0.00,0.00%,0.00%
Android,03/06/2022,BJ,0,0,0,5,58,0,6,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,TT,0,0,0,62,145,6,62,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,PS,0,0,0,64,280,0,52,0.00,0.00,0.00%,0.00%
Android,03/06/2022,TW,1,1,12,5640,3878,272,1348,0.01,12.00,0.07%,100.00%
Android,03/06/2022,CU,0,0,0,0,74,0,6,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,ZA,0,0,0,793,1855,40,474,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,LY,0,0,0,16,208,0,30,0.00,0.00,0.00%,0.00%
Android,03/06/2022,PR,0,0,0,312,656,24,211,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,HR,0,0,0,379,415,10,94,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,ZM,0,0,0,2,46,0,7,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,SG,0,0,0,1830,2167,60,656,0.00,0.00,0.00%,0.00%
Android,03/06/2022,GP,0,0,0,156,41,0,11,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,KZ,0,0,0,815,1518,40,391,0.00,0.00,0.00%,0.00%
Android,03/06/2022,TJ,0,0,0,10,56,4,12,0.00,0.00,0.00%,0.00%
Android,03/06/2022,ML,0,0,0,2,4,0,2,0.00,0.00,0.00%,0.00%
Android,03/06/2022,SR,0,0,0,1,29,0,7,0.00,0.00,0.00%,0.00%
Android,03/06/2022,FI,0,0,0,2102,1625,73,558,0.00,0.00,0.00%,0.00%
Android,03/06/2022,BG,0,0,0,1152,1438,115,503,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,GG,0,0,0,25,61,0,10,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,HK,1,1,6,3169,2878,50,865,0.01,6.00,0.12%,100.00%
iOS,03/06/2022,BZ,0,0,0,35,78,6,8,0.00,0.00,0.00%,0.00%
Android,03/06/2022,CN,0,0,0,163,1241,10,1847,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,CH,2,1,180,1657,2216,65,696,0.26,90.00,0.29%,50.00%
Android,03/06/2022,JO,0,0,0,493,881,125,266,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,QA,1,1,6,648,823,13,254,0.02,6.00,0.39%,100.00%
Android,03/06/2022,IN,0,0,0,10154,18240,1355,4906,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,UZ,0,0,0,59,402,6,67,0.00,0.00,0.00%,0.00%
Android,03/06/2022,KN,0,0,0,14,4,0,1,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,LB,0,0,0,408,613,10,169,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,ME,0,0,0,58,41,0,20,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,ET,0,0,0,4,2,0,2,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,EG,0,0,0,953,2074,37,502,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,KR,5,3,180,6614,6065,143,1736,0.10,36.00,0.29%,60.00%
iOS,03/06/2022,RO,0,0,0,403,722,37,230,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MM,0,0,0,158,360,0,68,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,SR,0,0,0,20,62,0,13,0.00,0.00,0.00%,0.00%
Android,03/06/2022,PE,0,0,0,3580,7428,340,1828,0.00,0.00,0.00%,0.00%
Android,03/06/2022,HK,1,0,96,2424,2099,70,744,0.13,96.00,0.13%,0.00%
iOS,03/06/2022,PE,0,0,0,415,476,12,124,0.00,0.00,0.00%,0.00%
Android,03/06/2022,MG,0,0,0,48,48,1,6,0.00,0.00,0.00%,0.00%
Android,03/06/2022,PG,0,0,0,0,14,2,1,0.00,0.00,0.00%,0.00%
Android,03/06/2022,MZ,0,0,0,1,18,4,5,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,TZ,0,0,0,18,13,0,4,0.00,0.00,0.00%,0.00%
Android,03/06/2022,LB,0,0,0,424,876,74,250,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,DJ,0,0,0,4,11,0,4,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,GT,0,0,0,71,166,0,40,0.00,0.00,0.00%,0.00%
Android,03/06/2022,RO,2,2,30,2470,3742,284,1313,0.02,15.00,0.15%,100.00%
iOS,03/06/2022,PF,0,0,0,67,116,0,38,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,NG,0,0,0,24,79,1,12,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MW,0,0,0,5,4,0,1,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,EC,0,0,0,259,736,11,140,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,NA,0,0,0,2,8,0,4,0.00,0.00,0.00%,0.00%
Android,03/06/2022,IM,0,0,0,2,4,0,1,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,SA,3,3,72,2688,4585,190,1261,0.06,24.00,0.24%,100.00%
Android,03/06/2022,RS,0,0,0,901,1993,74,548,0.00,0.00,0.00%,0.00%
Android,03/06/2022,TL,0,0,0,1,16,0,1,0.00,0.00,0.00%,0.00%
Android,03/06/2022,UY,0,0,0,722,1345,122,403,0.00,0.00,0.00%,0.00%
Android,03/06/2022,LI,0,0,0,1,5,0,2,0.00,0.00,0.00%,0.00%
Android,03/06/2022,DJ,0,0,0,0,16,0,1,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,FI,0,0,0,262,336,13,131,0.00,0.00,0.00%,0.00%
Android,03/06/2022,PW,0,0,0,0,2,0,1,0.00,0.00,0.00%,0.00%
Android,03/06/2022,CR,0,0,0,932,1848,107,528,0.00,0.00,0.00%,0.00%
Android,03/06/2022,SI,1,1,36,726,830,37,274,0.13,36.00,0.36%,100.00%
Android,03/06/2022,NP,0,0,0,302,923,109,238,0.00,0.00,0.00%,0.00%
Android,03/06/2022,IE,0,0,0,778,1310,47,436,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MD,0,0,0,88,86,5,31,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,UG,0,0,0,10,19,0,4,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,LT,1,1,12,139,209,12,64,0.19,12.00,1.56%,100.00%
Android,03/06/2022,SY,0,0,0,0,355,40,60,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,NI,0,0,0,34,53,0,19,0.00,0.00,0.00%,0.00%
Android,03/06/2022,BM,0,0,0,2,2,0,1,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,AG,1,0,84,8,40,0,6,14.00,84.00,16.67%,0.00%
Android,03/06/2022,KH,0,0,0,302,894,91,253,0.00,0.00,0.00%,0.00%
Android,03/06/2022,SO,0,0,0,0,8,0,1,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MP,0,0,0,32,14,0,4,0.00,0.00,0.00%,0.00%
Android,03/06/2022,EE,1,0,12,287,400,22,145,0.08,12.00,0.69%,0.00%
iOS,03/06/2022,AT,1,1,6,1214,1177,47,395,0.02,6.00,0.25%,100.00%
Android,03/06/2022,IS,0,0,0,92,82,5,35,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,VC,0,0,0,4,19,0,4,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,SM,0,0,0,5,11,0,2,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,LU,0,0,0,52,97,2,30,0.00,0.00,0.00%,0.00%
Android,03/06/2022,PK,1,1,24,1084,3347,254,834,0.03,24.00,0.12%,100.00%
Android,03/06/2022,LA,0,0,0,204,511,43,133,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,KE,0,0,0,77,107,2,35,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,BE,0,0,0,1254,1580,64,521,0.00,0.00,0.00%,0.00%
Android,03/06/2022,KG,0,0,0,264,528,60,138,0.00,0.00,0.00%,0.00%
Android,03/06/2022,SV,0,0,0,456,1211,62,281,0.00,0.00,0.00%,0.00%
Android,03/06/2022,GT,0,0,0,420,1158,76,304,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,RS,0,0,0,181,406,0,103,0.00,0.00,0.00%,0.00%
Android,03/06/2022,TM,0,0,0,0,54,5,16,0.00,0.00,0.00%,0.00%
Android,03/06/2022,WS,0,0,0,0,7,0,1,0.00,0.00,0.00%,0.00%
Android,03/06/2022,KY,0,0,0,8,97,0,2,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MR,0,0,0,14,29,0,4,0.00,0.00,0.00%,0.00%
Android,03/06/2022,MW,0,0,0,0,16,0,1,0.00,0.00,0.00%,0.00%
Android,03/06/2022,AX,0,0,0,11,5,0,2,0.00,0.00,0.00%,0.00%
Android,03/06/2022,BZ,0,0,0,26,103,11,41,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,NP,0,0,0,138,186,2,52,0.00,0.00,0.00%,0.00%
Android,03/06/2022,MA,0,0,0,798,1607,134,422,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,HU,0,0,0,481,784,23,244,0.00,0.00,0.00%,0.00%
Android,03/06/2022,KE,0,0,0,68,342,22,82,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MN,0,0,0,138,440,13,108,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,SX,0,0,0,25,25,0,7,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,CM,0,0,0,5,10,0,4,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,SN,0,0,0,18,26,1,14,0.00,0.00,0.00%,0.00%
Android,03/06/2022,NO,0,0,0,1673,1261,43,408,0.00,0.00,0.00%,0.00%
Android,03/06/2022,MN,0,0,0,1,49,1,11,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,GE,0,0,0,272,636,0,137,0.00,0.00,0.00%,0.00%
Android,03/06/2022,CV,0,0,0,0,4,1,1,0.00,0.00,0.00%,0.00%
Android,03/06/2022,TC,0,0,0,0,4,0,1,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,YE,0,0,0,1,28,1,5,0.00,0.00,0.00%,0.00%
Android,03/06/2022,GD,0,0,0,1,4,0,2,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,AS,0,0,0,0,1,0,1,0.00,0.00,0.00%,0.00%
Android,03/06/2022,MP,0,0,0,0,4,0,2,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,JE,0,0,0,54,58,0,13,0.00,0.00,0.00%,0.00%
Android,03/06/2022,MU,0,0,0,234,468,35,133,0.00,0.00,0.00%,0.00%
Android,03/06/2022,GA,0,0,0,1,13,0,4,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,SI,0,0,0,112,199,2,48,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,PT,1,1,12,433,569,17,179,0.07,12.00,0.56%,100.00%
